input,rand_x,rand_y,abs_rel,sq_rel,rms_sq_lin,rms_sq_log,d1,d2,d3
308ed5f320429e1295db6c872b27ad0b1_color_0_Left_Down_0.0,-22.58277860747475,81.12857515378491,0.23182646930217743,0.14173944294452667,0.35550519824028015,0.08585568517446518,0.5347203016281128,0.8929322957992554,0.9715508222579956
83_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,41.75890952605292,17.758527155466595,0.18686676025390625,0.08113604038953781,0.13901367783546448,0.056054312735795975,0.6936420798301697,0.9293438792228699,0.988535463809967
76_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,-61.916644720361425,-61.92098633948352,0.15634164214134216,0.11324089020490646,0.3489679992198944,0.05262527987360954,0.814344048500061,0.9335623383522034,0.9728386402130127
153_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-79.5449498097241,65.91170623948832,0.23853427171707153,0.16180381178855896,0.3090701401233673,0.08015089482069016,0.5918557643890381,0.8728421330451965,0.9835249185562134
169_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,18.20070211377758,37.45306400328819,0.2318856567144394,0.20673224329948425,0.4744004011154175,0.07495386898517609,0.6530420780181885,0.9126596450805664,0.9708153605461121
50_a641c3f4647545a2a4f5c50f5f5fbb571_color_0_Left_Down_0.0,-86.29479102675556,84.58377338915898,0.15426568686962128,0.10106320679187775,0.32171931862831116,0.042045559734106064,0.7546559572219849,0.9574503302574158,0.9953859448432922
4_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,59.839675344075914,-51.77896007791029,0.14515390992164612,0.12639300525188446,0.5124068260192871,0.05450798198580742,0.7833459377288818,0.9320230484008789,0.9795583486557007
166_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-57.27150590272189,-56.98718822638191,0.18506115674972534,0.13713522255420685,0.4093188941478729,0.08435093611478806,0.659885823726654,0.8962247371673584,0.9654235243797302
2_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-35.23639626728321,4.456157693802808,0.11955874413251877,0.04105148836970329,0.08427639305591583,0.023406438529491425,0.854934811592102,0.9952372312545776,0.9999006986618042
12_area_31_color_0_Left_Down_0.0,-12.249896644419167,-37.57875476435245,0.18919074535369873,0.12135085463523865,0.2826193571090698,0.06341192871332169,0.6588705778121948,0.9146832823753357,0.9849477410316467
43_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,20.133521050028307,-64.89110508263246,0.28571251034736633,0.2154330015182495,0.45321857929229736,0.10832604020833969,0.5001869201660156,0.8229585289955139,0.9635159373283386
72_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,-37.41396326366073,-24.0548682071355,0.18530718982219696,0.12785552442073822,0.37006765604019165,0.07701525092124939,0.6867445707321167,0.8927503824234009,0.9828678965568542
34_area_31_color_0_Left_Down_0.0,-7.907402840933528,51.33167305074244,0.13846266269683838,0.0782727301120758,0.2390802502632141,0.03609716519713402,0.8253618478775024,0.9616038799285889,0.9957088232040405
6_area_31_color_0_Left_Down_0.0,-54.058719211495244,2.562198914450093,0.19546043872833252,0.14626744389533997,0.5279441475868225,0.08290739357471466,0.5831034183502197,0.8816266059875488,0.9805552959442139
168_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,16.63462239516764,-81.63892571040041,0.16642223298549652,0.1130942702293396,0.4305488169193268,0.06099914759397507,0.7340790629386902,0.9581760168075562,0.9795929789543152
19_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,19.358073342258905,-59.30565773628753,0.23753386735916138,0.12021438777446747,0.1928941160440445,0.07520781457424164,0.5774688720703125,0.9001617431640625,0.9882125854492188
32_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-78.29071326264969,80.79939670559997,0.11037777364253998,0.07087558507919312,0.24162942171096802,0.032164525240659714,0.8649701476097107,0.960168719291687,0.987007200717926
125_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,83.81376595342067,55.51152266096301,0.13279634714126587,0.08230486512184143,0.21882539987564087,0.042298998683691025,0.824438214302063,0.9495387077331543,0.9768249988555908
75_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-35.16952154879328,-72.4190194788509,0.15392029285430908,0.08879376947879791,0.2268524169921875,0.04121612757444382,0.7698383331298828,0.9534972906112671,0.9964146018028259
42_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,33.161944772188235,-10.772551126871761,0.15188181400299072,0.07068659365177155,0.17106583714485168,0.03429247811436653,0.7763361930847168,0.9825885891914368,0.998746395111084
172_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-68.03311772793981,-0.8681561799713648,0.12461470067501068,0.05771413445472717,0.16884365677833557,0.0332706943154335,0.8409149646759033,0.9629487991333008,0.992705762386322
13_area_31_color_0_Left_Down_0.0,-83.81006619926069,73.67767237418076,0.1480576992034912,0.09077104181051254,0.23491166532039642,0.04759100824594498,0.7639184594154358,0.9470416903495789,0.9879950881004333
154_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-43.41960331199695,29.254011183716756,0.13390886783599854,0.06696847081184387,0.17879122495651245,0.039466533809900284,0.7795985341072083,0.9589372277259827,0.9948188662528992
81_area_31_color_0_Left_Down_0.0,-33.89200630390603,3.612243812005943,0.17624782025814056,0.08935751020908356,0.18802523612976074,0.05908996984362602,0.6460873484611511,0.9469517469406128,0.9874506592750549
86_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,8.407850281790331,-56.72619800540513,0.13014531135559082,0.08667922019958496,0.33624517917633057,0.032763708382844925,0.8118543028831482,0.9764180779457092,0.997305154800415
46_area_31_color_0_Left_Down_0.0,84.52523299762055,49.52390820500062,0.1485394388437271,0.10419044643640518,0.3558090627193451,0.05684022605419159,0.7996304631233215,0.9325099587440491,0.9645991325378418
